2026-08-18 05:18:39.8|Warn|Torznab|YTS HTTP request failed: [400:BadRequest] [GET] at [http://192.168.50.198:9117/api/v2.0/indexers/yts/results/torznab/api?t=movie&cat=2000,2010,2020,2030,2040,2045,2050,2060&extended=1&apikey=(removed)&offset=0&limit=100]
2026-08-18 05:18:40.0|Info|DownloadDecisionMaker|Processing 96 releases
2026-08-18 05:18:40.2|Info|RssSyncService|RSS Sync Completed. Reports found: 96, Reports grabbed: 0
2026-08-18 05:48:42.1|Info|RssSyncService|Starting RSS Sync
2026-08-18 05:48:42.3|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 05:48:42.7|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 06:18:43.5|Info|RssSyncService|Starting RSS Sync
2026-08-18 06:18:43.8|Info|DownloadDecisionMaker|Processing 190 releases
2026-08-18 06:18:44.2|Info|RssSyncService|RSS Sync Completed. Reports found: 190, Reports grabbed: 0
2026-08-18 06:48:46.9|Info|RssSyncService|Starting RSS Sync
2026-08-18 06:48:46.9|Info|DownloadDecisionMaker|Processing 190 releases
2026-08-18 06:48:47.4|Info|RssSyncService|RSS Sync Completed. Reports found: 190, Reports grabbed: 0
2026-08-18 07:18:48.2|Info|RssSyncService|Starting RSS Sync
2026-08-18 07:18:48.6|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 07:18:49.1|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 07:48:50.2|Info|RssSyncService|Starting RSS Sync
2026-08-18 07:48:50.3|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 07:48:50.8|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 08:18:51.3|Info|RssSyncService|Starting RSS Sync
2026-08-18 08:18:51.7|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 08:18:52.2|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 08:48:55.1|Info|RssSyncService|Starting RSS Sync
2026-08-18 08:48:55.1|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 08:48:55.6|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 09:18:57.6|Info|RssSyncService|Starting RSS Sync
2026-08-18 09:18:58.3|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 09:18:58.7|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 09:48:59.2|Info|RssSyncService|Starting RSS Sync
2026-08-18 09:48:59.2|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 09:48:59.6|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 10:19:00.7|Info|RssSyncService|Starting RSS Sync
2026-08-18 10:19:01.0|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 10:19:01.4|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 10:49:04.0|Info|RssSyncService|Starting RSS Sync
2026-08-18 10:49:04.0|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 10:49:04.4|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 11:19:05.7|Info|RssSyncService|Starting RSS Sync
2026-08-18 11:19:06.1|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 11:19:06.6|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 11:49:07.5|Info|RssSyncService|Starting RSS Sync
2026-08-18 11:49:07.5|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 11:49:08.0|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
2026-08-18 12:17:08.8|Info|RefreshCollectionService|Updating info for Despicable Me Collection
2026-08-18 12:17:08.9|Info|RecycleBinProvider|Recycle Bin has not been configured, cannot cleanup.
2026-08-18 12:18:08.9|Info|HousekeepingService|Running housecleaning tasks
2026-08-18 12:18:09.2|Info|Database|Vacuuming Log database
2026-08-18 12:18:09.3|Info|Database|Log database compressed
2026-08-18 12:18:09.3|Info|Database|Vacuuming Main database
2026-08-18 12:18:09.7|Info|Database|Main database compressed
2026-08-18 12:19:09.1|Info|RssSyncService|Starting RSS Sync
2026-08-18 12:19:09.5|Info|DownloadDecisionMaker|Processing 192 releases
2026-08-18 12:19:09.9|Info|RssSyncService|RSS Sync Completed. Reports found: 192, Reports grabbed: 0
